,data,ministro,discurso_posse,link_bio,link_discurso
0,31/03/2021,Carlos Alberto Franco França,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?layout=edit&id=449,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?layout=edit&id=450
1,02/01/2019,Ernesto Araújo,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/422,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=317
2,07/03/2017,Aloysio Nunes Ferreira,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/423,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=310
3,18/05/2016,José Serra,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/424,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/178-jose-serra
4,02/01/2014,Mauro Luiz Iecker Vieira,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/425,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/174-mauro-luiz-iecker-vieira
5,28/08/2013,Luiz Alberto Figueiredo Machado,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/426,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/172-luiz-alberto-figueiredo-machado
6,01/01/2011,Antonio de Aguiar Patriota,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/427,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/167-antonio-de-aguiar-patriota
7,01/01/2003,Celso Luiz Nunes Amorim,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/320,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/166-celso-amorim
8,29/01/2001,Celso Lafer,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/405,https://www.funag.gov.br/chdd/index.php/component/content/article/2-uncategorised/161-celso-lafer?Itemid=262
9,01/01/1995,Luiz Felipe Palmeira Lampreia,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/319,https://www.funag.gov.br/chdd/images/Discursos_ME/RPEB_76_jan_jun_1995.pdf
10,31/08/1993,Celso Luiz Nunes Amorim,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/320,NA
11,05/10/1992,Fernando Henrique Cardoso,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/321,NA
12,13/04/1992,Celso Lafer,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/405,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=252
13,15/03/1990,José Francisco Rezek,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/322,NA
