,autores
0,Carlos Alberto Franco França
1,Ernesto Araújo
2,Aloysio Nunes Ferreira
3,José Serra
4,Mauro Luiz Iecker Vieira
5,Luiz Alberto Figueiredo Machado
6,Antonio de Aguiar Patriota
7,Celso Luiz Nunes Amorim
8,Celso Lafer
9,Luiz Felipe Palmeira Lampreia
10,Celso Luiz Nunes Amorim
11,Fernando Henrique Cardoso
12,Celso Lafer
13,José Francisco Rezek
14,Roberto Costa de Abreu Sodré
15,Olavo Egydio Setúbal
16,Ramiro Elysio Saraiva Guerreiro
17,Antônio Francisco Azeredo da Silveira
18,Mario Gibson Alves Barboza
19,José Magalhães Pinto
20,Juracy Montenegro Magalhães
21,Vasco Tristão Leitão da Cunha
22,João Augusto de Araujo Castro
23,Evandro Cavalcanti Lins e Silva
24,Hermes Lima
25,Afonso Arinos de Melo Franco
26,Francisco Clementino de San Tiago Dantas
27,Afonso Arinos de Melo Franco
28,Horácio Lafer
29,Francisco Negrão de Lima
30,José Carlos de Macedo Soares
31,Raul Fernandes
32,Vicente Rao
33,João Neves da Fontoura
34,Raul Fernandes
35,João Neves da Fontoura
36,Pedro Leão Veloso
37,Oswaldo Euclides de Souza Aranha
38,Mário de Pimentel Brandão
39,José Carlos de Macedo Soares
40,Félix de Barros Cavalcanti de Lacerda
41,Afrânio de Melo Franco
42,Otávio Mangabeira
43,José Félix Alves Pacheco
44,José Manuel de Azevedo Marques
45,Domício da Gama
46,Nilo Procópio Peçanha
47,Lauro Severiano Müller
48,José Maria da Silva Paranhos Júnior
49,Olinto de Magalhães
50,Dionísio Evangelista de Castro Cerqueira
51,Carlos Augusto de Carvalho
52,Alexandre Cassiano do Nascimento
53,Carlos Augusto de Carvalho
54,João Felipe Pereira
55,Felisbello Firmo de Oliveira Freire
56,Antonio Francisco de Paula Souza
57,Inocêncio Serzedello Corrêa
58,Fernando Lobo Leite Pereira
59,Justo Pereira Leite Chermont
60,Quintino Antônio Ferreira de Sousa Bocaiúva
61,José Francisco Diana
62,Rodrigo Augusto da Silva
63,Antonio da Silva Prado
64,João Mauricio Wanderley
65,João Lustosa da Cunha Paranaguá
66,Manoel Pinto de Souza Dantas
67,João da Matta Machado
68,Francisco de Carvalho Soares Brandão
69,Lourenço Cavalcanti de Albuquerque
70,Filippe Franco de Sá
71,Franklin Americo de Menezes Doria
72,Pedro Luiz Pereira de Souza
73,Antonio Moreira de Barros
74,João Lins Vieira Cansansão de Sinimbú
75,Domingos de Souza Leão
76,Carlos Leoncio de Carvalho
77,Diogo Velho Cavalcanti de Albuquerque
78,João Mauricio Wanderley
79,Carlos Carneiro de Campos
80,Manoel Francisco Correa
81,José Antonio Pimenta Bueno
82,José Maria da Silva Paranhos
83,João Mauricio Wanderley
84,João Silveira de Souza
85,João Lustosa da Cunha Paranaguá
86,Antonio Coelho de Sá e Albuquerque
87,Martim Francisco Ribeiro de Andrada
88,José Antonio Saraiva
89,João Pedro Dias Vieira
90,Francisco Xavier Paes Barreto
91,Miguel Calmon du Pin e Almeida
92,Carlos Carneiro de Campos
93,Benevenuto Augusto de Magalhães Taques
94,Antonio Coelho de Sá e Albuquerque
95,José Maria da Silva Paranhos
96,João Lins Vieira Cansansão de Sinimbú
97,José Maria da Silva Paranhos
98,Caetano Maria Lopes Gama
99,José Maria da Silva Paranhos
100,Antonio Paulino Limpo de Abreu
101,Paulino José Soares de Souza
102,Pedro de Araújo Lima
103,Bernardo de Souza Franco
104,Antonio Paulino Limpo de Abreu
105,José Antonio Pimenta Bueno
106,Saturnino de Souza e Oliveira Coutinho
107,Bento da Silva Lisboa
108,Antonio Paulino Limpo de Abreu
109,Ernesto Ferreira França
110,Paulino José Soares de Souza
111,Honorio Hermeto Carneiro Leão
112,Aureliano de Souza e Oliveira Coutinho
113,Caetano Maria Lopes Gama
114,Candido Baptista de Oliveira
115,Antonio Peregrino Maciel Monteiro
116,Francisco Gê Acayaba de Montezuma
117,Antonio Paulino Limpo de Abreu
118,Gustavo Adolpho de Aguilar Pantoja
119,Antonio Paulino Limpo de Abreu
120,Manoel Alves Branco
121,Aureliano de Souza e Oliveira Coutinho
122,Bento da Silva Lisboa
123,Pedro de Araújo Lima
124,Francisco Carneiro de Campos
125,João Carlos Augusto de Oyenhausen
126,Francisco Carneiro de Campos
127,Francisco Villela Barbosa
128,Miguel Calmon du Pin e Almeida
129,João Carlos Augusto de Oyenhausen
130,João Severiano Maciel da Costa
131,Antonio Luiz Pereira da Cunha
132,José Egydio Alvares de Almeida
133,Luiz José de Carvalho e Mello
134,Francisco Villela Barbosa
135,José Joaquim Carneiro de Campos
136,José Bonifácio de Andrada e Silva
